2017-10-16 17:11:13,066 - INFO - args: (<__main__.Client object at 0x0000000002B074E0>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50628), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-16 17:16:45,159 - INFO - args: (<__main__.Client object at 0x0000000002B174E0>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50634), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-16 17:16:45,159 - INFO - args: (<__main__.Client object at 0x0000000002AE74E0>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50635), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-16 17:17:39,887 - INFO - args: (<__main__.Client object at 0x0000000002AC74E0>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50636), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-16 17:17:39,912 - INFO - args: (<__main__.Client object at 0x0000000002AD7470>,) = <socket.socket fd=272, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 50637), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:25:40,978 - INFO - args: (<__main__.Client object at 0x0000000001ED2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58529), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:25:40,978 - INFO - args: (<__main__.Client object at 0x0000000002232710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58528), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:26:14,524 - INFO - args: (<__main__.Client object at 0x0000000001EB2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58530), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:26:14,570 - INFO - args: (<__main__.Client object at 0x0000000002AE7C50>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58531), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:26:46,755 - INFO - args: (<__main__.Client object at 0x00000000028D2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58532), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:26:46,755 - INFO - args: (<__main__.Client object at 0x0000000001DF2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58533), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:30:55,742 - INFO - args: (<__main__.Client object at 0x00000000022326D8>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58534), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:30:55,789 - INFO - args: (<__main__.Client object at 0x0000000001F926D8>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58535), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:43:08,352 - INFO - args: (<__main__.Client object at 0x0000000002312710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58540), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:43:52,509 - INFO - args: (<__main__.Client object at 0x00000000006E2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58542), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:45:24,486 - INFO - args: (<__main__.Client object at 0x0000000002ADE080>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58544), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:49:06,610 - INFO - args: (<__main__.Client object at 0x00000000028B2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58546), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:49:06,625 - INFO - args: (<__main__.Client object at 0x00000000028A2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58547), raddr=('127.0.0.1', 7777)> - _connect - __main__
2017-10-17 01:50:07,170 - INFO - args: (<__main__.Client object at 0x0000000001EE2710>,) = <socket.socket fd=276, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 58548), raddr=('127.0.0.1', 7777)> - _connect - __main__
